Code    Description        Theta_r    Theta_s    Alpha      N          Ks         Ko         L          
                           cm3/cm3    cm3/cm3    1/cm       no units   cm/day     cm/day     no units   
4001648  4000221            0.08858    0.51386    0.01122    1.47116   48.00822    3.63865   -0.28479 
4001649  4000221            0.09181    0.49600    0.01224    1.43822   26.89996    3.51177   -0.48621 
4001651  4000221            0.09157    0.47845    0.01151    1.43803   16.74774    3.01097   -0.48864 
4001653  4000221            0.08885    0.44508    0.01064    1.43139    7.24108    2.49344   -0.51751 
4001662  4000223            0.03983    0.35101    0.03255    1.38027   22.95641   15.71673   -1.29316 
4001663  4000223            0.03796    0.30985    0.03947    1.24544    7.66959   14.35003   -2.61321 
4001664  4000223            0.04760    0.31621    0.02890    1.21151    3.25937    8.36597   -2.98798 
4001665  4000223            0.04099    0.30180    0.04050    1.20274    4.66964   12.27483   -3.64673 
4001666  4000223            0.04455    0.34819    0.03914    1.64853   59.10177   23.97462   -1.05790 
4001668  4000224            0.08174    0.43345    0.00810    1.52234    8.91126    2.05373   -0.21048 
4001669  4000224            0.08984    0.49023    0.00914    1.49975   25.05963    2.52813   -0.19576 
4001670  4000224            0.09113    0.49526    0.00976    1.48386   26.33864    2.71318   -0.25597 
4001671  4000224            0.09224    0.50061    0.00992    1.47831   27.78437    2.76776   -0.26935 
4001672  4000224            0.07552    0.49090    0.00643    1.60258   72.22806    2.21307    0.28139 
4001673  4000224            0.05197    0.36822    0.00900    1.53157   12.60456    3.06838   -0.21022 
4001675  4000225            0.06463    0.42708    0.00462    1.70498   35.87261    1.56846    0.35493 
4001676  4000225            0.07627    0.46056    0.00530    1.65287   33.56776    1.66014    0.26987 
4001677  4000225            0.07808    0.45243    0.00602    1.61472   22.59144    1.75910    0.13126 
4001678  4000225            0.08435    0.48662    0.00701    1.56970   34.75535    2.07229    0.07977 
4001679  4000225            0.10576    0.53222    0.02001    1.27686   20.97586    5.70964   -1.60357 
4001680  4000225            0.09910    0.54159    0.01808    1.36776   56.35305    6.46803   -0.95586 
4001681  4000225            0.04083    0.37190    0.04210    1.91079  134.54250   35.79697   -0.88233 
4001682  4000225            0.04528    0.40359    0.03887    2.07380  235.11086   34.13339   -0.81273 
4001683  4000225            0.04432    0.40281    0.03340    1.52150   74.84859   22.37196   -0.91392 
4001693  4000227            0.08181    0.51887    0.00526    1.64791   93.61834    1.83633    0.41783 
4001694  4000227            0.08376    0.55520    0.00488    1.67355  166.55589    1.88674    0.49465 
4001696  4000227            0.10335    0.50847    0.01765    1.28269   11.85211    4.38183   -1.44075 
4001698  4000227            0.10266    0.51614    0.01630    1.32061   16.23584    4.29869   -1.12165 
4001700  4000228            0.09725    0.46497    0.01541    1.29782    6.66517    3.38388   -1.23458 
4001701  4000228            0.09822    0.46766    0.01596    1.28148    6.36367    3.46269   -1.37347 
4001702  4000228            0.09818    0.46587    0.01672    1.26642    6.92014    3.60129   -1.54125 
4001703  4000228            0.09664    0.45651    0.01874    1.25620   10.01348    4.12415   -1.76756 
4001704  4000228            0.09776    0.46088    0.01810    1.25050    8.63617    3.88560   -1.78819 
4001705  4000228            0.09595    0.45729    0.01705    1.28061    8.86618    3.79335   -1.45178 
4001706  4000228            0.08814    0.44147    0.01053    1.43314    6.85542    2.46381   -0.51275 
4001714  4000230            0.11399    0.52588    0.02257    1.19246   16.03736    4.83694   -3.12601 
4001715  4000230            0.11581    0.52669    0.02287    1.18720   15.07556    4.73698   -3.31126 
4001716  4000230            0.11544    0.52055    0.02227    1.18684   13.44846    4.42557   -3.29200 
4001759  4000237            0.04294    0.31513    0.03233    1.23213    5.19914   10.56773   -2.65802 
4001760  4000237            0.05050    0.32495    0.02544    1.22805    3.28374    7.47853   -2.49265 
4001761  4000237            0.06169    0.35316    0.02318    1.22793    3.79470    6.22221   -2.37948 
4001764  4000237            0.05476    0.33573    0.02858    1.20533    4.16846    7.70410   -3.11077 
4001765  4000237            0.05045    0.32874    0.03253    1.21491    5.63667    9.42399   -3.03894 
4001767  4000237            0.04988    0.33204    0.03341    1.23981    7.86181   10.50777   -2.57318 
4001768  4000237            0.03815    0.30483    0.04884    1.34650   15.73160   22.23474   -1.81391 
4001776  4000239            0.09995    0.46622    0.01770    1.23230    7.11861    3.59658   -1.99333 
4001777  4000239            0.10502    0.46540    0.01831    1.19159    7.04472    3.17602   -2.86972 
4001778  4000239            0.10356    0.46661    0.01802    1.20176    6.79478    3.27507   -2.58628 
4001779  4000239            0.10006    0.46673    0.01761    1.23279    6.95586    3.57523   -1.98056 
4001780  4000239            0.09760    0.46508    0.01613    1.28184    6.90325    3.52056   -1.38260 
4001781  4000239            0.08880    0.44198    0.01194    1.39862    7.17065    2.79548   -0.66744 
4001792  4000241            0.07404    0.41791    0.01881    1.34411   13.21449    5.78622   -1.11423 
4001793  4000241            0.08335    0.43353    0.01917    1.30884   12.27764    5.20416   -1.32990 
4001794  4000241            0.09476    0.46280    0.01991    1.28327   15.01592    4.94066   -1.56141 
