sam_id	ped_id	hz_tp	hz_bt	sand_tot	silt_tot	clay_tot	db_13b		w3cld	w15ad
sam_id	ped_id	hz_tp	hz_bt	sand_tot	silt_tot	clay_tot	db_13b		w3cld	w15ad
4002606	4000353	13	69	93.30000305	3.200000048	3.5	1.450000048	0.150000006	0.076850004	0.020300001
4002607	4000353	69	91	89.80000305	3.299999952	6.900000095	1.450000048	0.100000001	0.095700003	0.039150003
4002608	4000353	91	122	90.09999847	2.5	7.400000095	1.450000048	0.090000004	0.100050002	0.047850002
4002609	4000353	122	152	91.19999695	4.300000191	4.5	1.450000048	0.059999999	0.113100007	0.031900004
4002677	4000360	0	13	30.79999924	50.79999924	18.39999962	0.860000014	3.25	0.261440009	0.079980001
4002678	4000360	13	30	30.20000076	49.09999847	20.70000076	1.299999952	0.469999999	0.343199968	0.1118
4002679	4000360	30	46	26.79999924	51.70000076	21.5	1.379999995	0.170000002	0.402960002	0.133859992
4002680	4000360	46	56	21.60000038	57.59999847	20.79999924	1.419999957	0.109999999	0.447299987	0.139159992
4002681	4000360	56	71	26.10000038	56.09999847	17.79999924	1.429999948	0.079999998	0.421849996	0.124409996
4002682	4000360	71	89	25.20000076	55.90000153	18.89999962	1.690000057	0.039999999	0.449540019	0.14027001
4002683	4000360	89	119	52	37.70000076	10.30000019	1.799999952	0.079999998	0.340199977	0.129599988
4002684	4000360	119	130	49.79999924	39	11.19999981	1.789999962	0.079999998	0.336519986	0.127089992
4002685	4000360	130	190	27.39999962	64.5	8.100000381	1.690000057	0.079999998	0.375180036	0.08788
